Year,City,Sport,Discipline,Athlete,Country Code,Country,Gender,Event,Medal
1976,Montreal,Gymnastics,Artistic G.,"TURISCHEVA, Lyudmila",URS,USSR,Women,Vault,Silver
1980,Moscow,Gymnastics,Artistic G.,"BRÜCKNER, Roland",GDR,East Germany,Men,Vault,Bronze
1980,Moscow,Gymnastics,Artistic G.,"ANDRIANOV, Nikolay",URS,USSR,Men,Vault,Gold
1980,Moscow,Gymnastics,Artistic G.,"DITYATIN, Aleksandr",URS,USSR,Men,Vault,Silver
1980,Moscow,Gymnastics,Artistic G.,"RÜHN, Melita",ROU,Romania,Women,Vault,Bronze
1980,Moscow,Gymnastics,Artistic G.,"SHAPOSHNIKOVA, Natalia",URS,USSR,Women,Vault,Gold
1980,Moscow,Gymnastics,Artistic G.,"KRÄKER, Steffi",GDR,East Germany,Women,Vault,Silver
1984,Los Angeles,Gymnastics,Artistic G.,"LOU, Yun",CHN,China,Men,Vault,Gold
1984,Los Angeles,Gymnastics,Artistic G.,"GAYLORD, Mitchell Jay",USA,United States,Men,Vault,Silver
1984,Los Angeles,Gymnastics,Artistic G.,"GUSHIKEN, Koji",JPN,Japan,Men,Vault,Silver
1984,Los Angeles,Gymnastics,Artistic G.,"LI, Ning",CHN,China,Men,Vault,Silver
1984,Los Angeles,Gymnastics,Artistic G.,"MORISUE, Shinji",JPN,Japan,Men,Vault,Silver
1984,Los Angeles,Gymnastics,Artistic G.,"AGACHE, Lavinia",ROU,Romania,Women,Vault,Bronze
1984,Los Angeles,Gymnastics,Artistic G.,"SZABO, Ecaterina",ROU,Romania,Women,Vault,Gold
1984,Los Angeles,Gymnastics,Artistic G.,"RETTON, Mary-Lou",USA,United States,Women,Vault,Silver
1988,Seoul,Gymnastics,Artistic G.,"PARK, Jong-Hoon",KOR,"Korea, South",Men,Vault,Bronze
1988,Seoul,Gymnastics,Artistic G.,"LOU, Yun",CHN,China,Men,Vault,Gold
1988,Seoul,Gymnastics,Artistic G.,"KROLL, Sylvio",GDR,East Germany,Men,Vault,Silver
1988,Seoul,Gymnastics,Artistic G.,"SILIVAS, Daniela",ROU,Romania,Women,Vault,Bronze
1988,Seoul,Gymnastics,Artistic G.,"BOGINSKAYA, Svetlana",URS,USSR,Women,Vault,Gold
1988,Seoul,Gymnastics,Artistic G.,"POTORAC, Gabriela",ROU,Romania,Women,Vault,Silver
1992,Barcelona,Gymnastics,Artistic G.,"YOO, Ok Ryul",KOR,"Korea, South",Men,Vault,Bronze
1992,Barcelona,Gymnastics,Artistic G.,"SCHERBO, Vitaly",EUN,Unified Team (USSR),Men,Vault,Gold
1992,Barcelona,Gymnastics,Artistic G.,"MISUTIN, Grigori",EUN,Unified Team (USSR),Men,Vault,Silver
1992,Barcelona,Gymnastics,Artistic G.,"LYSSENKO, Tatiana",EUN,Unified Team (USSR),Women,Vault,Bronze
1992,Barcelona,Gymnastics,Artistic G.,"MILOSOVICI, Lavinia Corina",ROU,Romania,Women,Vault,Gold
1992,Barcelona,Gymnastics,Artistic G.,"ONODI, Henrietta",HUN,Hungary,Women,Vault,Gold
1996,Atlanta,Gymnastics,Artistic G.,"SCHERBO, Vitaly",BLR,Belarus,Men,Vault,Bronze
1996,Atlanta,Gymnastics,Artistic G.,"NEMOV, Alexei",RUS,Russia,Men,Vault,Gold
1996,Atlanta,Gymnastics,Artistic G.,"YEO, Hong-Chul",KOR,"Korea, South",Men,Vault,Silver
1996,Atlanta,Gymnastics,Artistic G.,"GOGEAN, Gina Elena",ROU,Romania,Women,Vault,Bronze
1996,Atlanta,Gymnastics,Artistic G.,"AMANAR, Simona",ROU,Romania,Women,Vault,Gold
1996,Atlanta,Gymnastics,Artistic G.,"MO, Huilan",CHN,China,Women,Vault,Silver
2000,Sydney,Gymnastics,Artistic G.,"BLANIK, Leszek",POL,Poland,Men,Vault,Bronze
2000,Sydney,Gymnastics,Artistic G.,"DEFERR, Gervasio",ESP,Spain,Men,Vault,Gold
2000,Sydney,Gymnastics,Artistic G.,"BONDARENKO, Alexei",RUS,Russia,Men,Vault,Silver
2000,Sydney,Gymnastics,Artistic G.,"LOBAZNIOUK, Ekaterina",RUS,Russia,Women,Vault,Bronze
2000,Sydney,Gymnastics,Artistic G.,"ZAMOLODCHIKOVA, Elena",RUS,Russia,Women,Vault,Gold
2000,Sydney,Gymnastics,Artistic G.,"RADUCAN, Andreea Madalina",ROU,Romania,Women,Vault,Silver
2004,Athens,Gymnastics,Artistic G.,"DRAGULESCU, Marian",ROU,Romania,Men,Vault,Bronze
2004,Athens,Gymnastics,Artistic G.,"DEFERR, Gervasio",ESP,Spain,Men,Vault,Gold
2004,Athens,Gymnastics,Artistic G.,"SAPRONENKO, Evgeni",LAT,Latvia,Men,Vault,Silver
2004,Athens,Gymnastics,Artistic G.,"PAVLOVA, Anna",RUS,Russia,Women,Vault,Bronze
2004,Athens,Gymnastics,Artistic G.,"ROSU, Monica",ROU,Romania,Women,Vault,Gold
2004,Athens,Gymnastics,Artistic G.,"HATCH, Annia",USA,United States,Women,Vault,Silver
2008,Beijing,Gymnastics,Artistic G.,"GOLOTSUTSKOV, Anton",RUS,Russia,Men,Vault,Bronze
2008,Beijing,Gymnastics,Artistic G.,"BLANIK, Leszek",POL,Poland,Men,Vault,Gold
2008,Beijing,Gymnastics,Artistic G.,"BOUHAIL, Thomas",FRA,France,Men,Vault,Silver
2008,Beijing,Gymnastics,Artistic G.,"CHENG, Fei",CHN,China,Women,Vault,Bronze
2008,Beijing,Gymnastics,Artistic G.,"HONG, Un Jong",PRK,"Korea, North",Women,Vault,Gold
2008,Beijing,Gymnastics,Artistic G.,"CHUSOVITINA, Oxana.",GER,Germany,Women,Vault,Silver
2012,London,Gymnastics,Gymnastics Artistic,"YANG, Hak Seon",KOR,"Korea, South",Men,Vault,Gold
2012,London,Gymnastics,Gymnastics Artistic,"ABLYAZIN, Denis",RUS,Russia,Men,Vault,Silver
2012,London,Gymnastics,Gymnastics Artistic,"RADIVILOV, Igor",UKR,Ukraine,Men,Vault,Bronze
2012,London,Gymnastics,Gymnastics Artistic,"IZBASA, Sandra Raluca",ROU,Romania,Women,Vault,Gold
2012,London,Gymnastics,Gymnastics Artistic,"MARONEY, Mc Kayla",USA,United States,Women,Vault,Silver
2012,London,Gymnastics,Gymnastics Artistic,"PASEKA, Maria",RUS,Russia,Women,Vault,Bronze
